Order_ID,Order_Date,Order_Time,Customer_Name,City/Area,Restaurant_Name,Cuisine_Type,Item_Name,Quantity,Unit_Price,Discount,Total_Amount,Delivery_Time (Minutes),Customer_Rating,Review,Repeat_Order (Yes/No),Profit
ORD1028,2026-05-29,11:39,Sanjay,Madurai,Tasty Bites,Fast Food,Pizza,2,180,10,350,39,4.2,Late Delivery,No,57.19
ORD1029,2026-05-30,18:28,Sanjay,Theni,Food Palace,Fast Food,Noodles,1,300,0,300,57,3.9,Very Good,No,87.8
ORD1030,2026-05-01,14:40,Rahul,Madurai,BBQ Point,Chinese,Fried Rice,1,300,30,270,52,3.7,Excellent,Yes,61.36
ORD1031,2026-05-02,16:02,Anu,KK Nagar,Tasty Bites,Chinese,Fried Rice,3,120,30,330,44,4.0,Good,No,78.69
ORD1032,2026-05-03,11:23,Sanjay,Madurai,BBQ Point,Chinese,Dosa,3,180,30,510,51,4.7,Good,No,147.36
ORD1033,2026-05-04,13:33,Priya,Anna Nagar,Food Palace,South Indian,Dosa,4,250,10,990,53,3.8,Good,No,242.14
ORD1034,2026-05-05,13:26,Anu,KK Nagar,Tasty Bites,South Indian,Noodles,4,200,30,770,54,5.0,Good,Yes,146.12
ORD1035,2026-05-06,11:20,Divya,Madurai,BBQ Point,North Indian,Biryani,2,200,10,390,54,3.6,Very Good,No,97.82
ORD1036,2026-05-07,17:51,Meena,Theni,Spice Hub,North Indian,Dosa,1,200,10,190,54,3.9,Late Delivery,Yes,50.37
ORD1037,2026-05-08,18:39,Sanjay,Tallakulam,BBQ Point,North Indian,Fried Rice,4,200,0,800,25,3.6,Good,No,140.67
ORD1038,2026-05-09,10:45,Meena,Anna Nagar,Spice Hub,Chinese,Dosa,4,300,0,1200,51,4.4,Good,Yes,382.45
ORD1039,2026-05-10,20:27,Arun,Tallakulam,BBQ Point,Fast Food,Fried Rice,4,150,20,580,39,4.2,Good,Yes,197.35
ORD1040,2026-05-11,21:35,Meena,Anna Nagar,Dosa Corner,Chinese,Biryani,2,180,10,350,43,4.0,Good,Yes,86.87
ORD1041,2026-05-12,20:04,Divya,Anna Nagar,Tasty Bites,Fast Food,Burger,2,120,20,220,52,5.0,Very Good,No,72.76
ORD1042,2026-05-13,21:27,Priya,KK Nagar,Spice Hub,North Indian,Dosa,3,180,20,520,55,4.6,Average,No,113.97
ORD1043,2026-05-14,11:02,Rahul,Tallakulam,Food Palace,Fast Food,Biryani,2,120,20,220,35,3.7,Late Delivery,No,56.5
ORD1044,2026-05-15,17:36,Divya,Anna Nagar,BBQ Point,Fast Food,Burger,4,300,10,1190,35,4.8,Good,No,238.01
ORD1045,2026-05-16,13:23,Arun,Anna Nagar,Spice Hub,South Indian,Biryani,4,120,0,480,29,3.8,Late Delivery,Yes,161.49
ORD1046,2026-05-17,18:35,Nisha,Theni,Spice Hub,Chinese,Burger,4,250,0,1000,44,4.8,Average,Yes,213.56
ORD1047,2026-05-18,15:28,Meena,Tallakulam,Dosa Corner,Chinese,Pizza,3,120,30,330,57,3.6,Good,No,81.89
ORD1048,2026-05-19,10:18,Priya,Tallakulam,Food Palace,Fast Food,Burger,4,300,10,1190,52,4.7,Late Delivery,Yes,214.01
ORD1049,2026-05-20,17:27,Nisha,Madurai,Spice Hub,Chinese,Fried Rice,4,250,0,1000,20,3.8,Very Good,Yes,187.36
ORD1050,2026-05-21,19:23,Nisha,Madurai,Food Palace,Fast Food,Biryani,4,180,0,720,60,3.7,Average,No,247.29
